Time Series Search Export,Search term,Search filters,,Last update of Residential property prices data,Downloaded at,Source,Source URL,Download URL,About Residential property prices
,,,,2025-09-25,2025-10-09 06:26 CEST,BIS,"https://data.bis.org/topics/RPP/BIS,WS_DPP,1.0/M.KR.3.1.1.3.6.0?","https://data.bis.org/topics/RPP/BIS,WS_DPP,1.0/M.KR.3.1.1.3.6.0?&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel",https://data.bis.org/topics/RPP

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,COVERED_AREA:Covered area,RE_TYPE:Real estate type,RE_VINTAGE:Real estate vintage,COMPILING_ORG:Compiling agency,PRICED_UNIT:Priced unit,ADJUST_CODED:Seasonal adjustment,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-03-31,F:Free,,A:Normal value,59.1
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-04-30,F:Free,,A:Normal value,59.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-05-31,F:Free,,A:Normal value,60.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-06-30,F:Free,,A:Normal value,61.3
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-07-31,F:Free,,A:Normal value,61.6
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-08-31,F:Free,,A:Normal value,61.9
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-09-30,F:Free,,A:Normal value,62.5
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-10-31,F:Free,,A:Normal value,64.0
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-11-30,F:Free,,A:Normal value,67.4
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2006-12-31,F:Free,,A:Normal value,69.7
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-01-31,F:Free,,A:Normal value,71.3
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-02-28,F:Free,,A:Normal value,72.1
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-03-31,F:Free,,A:Normal value,72.5
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-04-30,F:Free,,A:Normal value,73.0
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-05-31,F:Free,,A:Normal value,73.3
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-06-30,F:Free,,A:Normal value,73.6
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-07-31,F:Free,,A:Normal value,74.2
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-08-31,F:Free,,A:Normal value,74.6
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-09-30,F:Free,,A:Normal value,75.3
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-10-31,F:Free,,A:Normal value,75.9
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-11-30,F:Free,,A:Normal value,76.6
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2007-12-31,F:Free,,A:Normal value,77.0
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-01-31,F:Free,,A:Normal value,77.7
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-02-29,F:Free,,A:Normal value,78.2
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-03-31,F:Free,,A:Normal value,79.6
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-04-30,F:Free,,A:Normal value,81.1
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-05-31,F:Free,,A:Normal value,82.4
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-06-30,F:Free,,A:Normal value,83.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-07-31,F:Free,,A:Normal value,84.8
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-08-31,F:Free,,A:Normal value,85.4
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-09-30,F:Free,,A:Normal value,86.0
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-10-31,F:Free,,A:Normal value,85.9
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-11-30,F:Free,,A:Normal value,85.2
"BIS,WS_DPP,1.0",M.KR.3.1.1.3.6.0,M:Monthly,KR:Korea,3:Capital/biggest city/financial center and suburbs,1:All types of dwellings,1:Existing,3:General Government,6:Pure price,0:Non seasonally adjusted,"Index, 2025 Mar = 100",Units,2008-12-31,F:Free,,A:Normal value,84.2
