Date,Close,High,Low,Open,Volume
1990-01-02,359.69000244140600,359.69000244140600,351.9800109863280,353.3999938964840,162070000
1990-01-03,358.760009765625,360.5899963378910,357.8900146484380,359.69000244140600,192330000
1990-01-04,355.6700134277340,358.760009765625,352.8900146484380,358.760009765625,177000000
1990-01-05,352.20001220703100,355.6700134277340,351.3500061035160,355.6700134277340,158530000
1990-01-08,353.7900085449220,354.239990234375,350.5400085449220,352.20001220703100,140110000
1990-01-09,349.6199951171880,354.1700134277340,349.6099853515630,353.8299865722660,155210000
1990-01-10,347.30999755859400,349.6199951171880,344.32000732421900,349.6199951171880,175990000
1990-01-11,348.5299987792970,350.1400146484380,347.30999755859400,347.30999755859400,154390000
1990-01-12,339.92999267578100,348.5299987792970,339.489990234375,348.5299987792970,183880000
1990-01-15,337.0,339.94000244140600,336.57000732421900,339.92999267578100,140590000
1990-01-16,340.75,340.75,333.3699951171880,337.0,186070000
1990-01-17,337.3999938964840,342.010009765625,336.260009765625,340.7699890136720,170470000
1990-01-18,338.19000244140600,338.3800048828130,333.9800109863280,337.3999938964840,178590000
1990-01-19,339.1499938964840,340.4800109863280,338.19000244140600,338.19000244140600,185590000
1990-01-22,330.3800048828130,339.9599914550780,330.2799987792970,339.1400146484380,148380000
1990-01-23,331.6099853515630,332.760009765625,328.6700134277340,330.3800048828130,179300000
1990-01-24,330.260009765625,331.7099914550780,324.1700134277340,331.6099853515630,207830000
1990-01-25,326.0799865722660,332.3299865722660,325.3299865722660,330.260009765625,172270000
1990-01-26,325.79998779296900,328.5799865722660,321.44000244140600,326.0899963378910,198190000
1990-01-29,325.20001220703100,327.30999755859400,321.7900085449220,325.79998779296900,150770000
1990-01-30,322.9800109863280,325.7300109863280,319.8299865722660,325.20001220703100,186030000
1990-01-31,329.0799865722660,329.0799865722660,322.9800109863280,322.9800109863280,189660000
1990-02-01,328.7900085449220,329.8599853515630,327.760009765625,329.0799865722660,154580000
1990-02-02,330.9200134277340,332.1000061035160,328.0899963378910,328.7900085449220,164400000
1990-02-05,331.8500061035160,332.1600036621090,330.45001220703100,330.9200134277340,130950000
1990-02-06,329.6600036621090,331.8599853515630,328.20001220703100,331.8500061035160,134070000
1990-02-07,333.75,333.760009765625,326.54998779296900,329.6600036621090,186710000
1990-02-08,332.9599914550780,336.0899963378910,332.0,333.75,176240000
1990-02-09,333.6199951171880,334.6000061035160,332.4100036621090,333.0199890136720,146910000
1990-02-12,330.0799865722660,333.6199951171880,329.9700012207030,333.6199951171880,118390000
1990-02-13,331.0199890136720,331.6099853515630,327.9200134277340,330.0799865722660,144490000
1990-02-14,332.010009765625,333.20001220703100,330.6400146484380,331.0199890136720,138530000
1990-02-15,334.8900146484380,335.2099914550780,331.6099853515630,332.010009765625,174620000
1990-02-16,332.7200012207030,335.6400146484380,332.4200134277340,334.8900146484380,166840000
1990-02-20,327.989990234375,332.7200012207030,326.260009765625,332.7200012207030,147300000
1990-02-21,327.6700134277340,328.1700134277340,324.4700012207030,327.9100036621090,159240000
