Date,Close,High,Low,Open,Volume
1996-12-11,704.6799926757810,709.47998046875,704.4299926757810,705.989990234375,28000
1996-12-12,689.3800048828130,706.010009765625,688.739990234375,705.1099853515630,25900
1996-12-13,689.0700073242190,695.719970703125,677.6400146484380,690.4400024414060,26500
1996-12-16,673.9199829101560,686.969970703125,667.7100219726560,686.969970703125,22800
1996-12-17,663.3499755859380,680.0900268554690,660.3900146484380,675.3499755859380,31600
1996-12-18,661.3900146484380,671.4299926757810,655.469970703125,662.0700073242190,31500
1996-12-19,690.969970703125,690.969970703125,668.1300048828130,668.1300048828130,30400
1996-12-20,700.8699951171880,703.510009765625,692.469970703125,695.3300170898440,30000
1996-12-23,684.8099975585940,697.1199951171880,684.8099975585940,691.97998046875,21500
1996-12-24,677.760009765625,687.0599975585940,677.5599975585940,683.1099853515630,23800
1996-12-26,659.010009765625,676.2100219726560,655.239990234375,676.2100219726560,25500
1996-12-27,651.219970703125,657.0399780273440,643.5700073242190,654.8200073242190,35100
1997-01-03,653.7899780273440,655.7000122070310,635.4099731445310,647.6699829101560,13900
1997-01-06,626.8699951171880,637.97998046875,625.010009765625,637.97998046875,17600
1997-01-07,611.0499877929690,627.6099853515630,609.1199951171880,622.4500122070310,24100
1997-01-08,621.4099731445310,623.3900146484380,600.5599975585940,608.530029296875,34200
1997-01-09,639.8699951171880,640.8099975585940,612.4099731445310,619.0999755859380,36100
1997-01-10,648.6900024414060,653.5900268554690,636.8099975585940,637.989990234375,36500
1997-01-13,659.5399780273440,664.9500122070310,655.739990234375,659.8099975585940,28700
1997-01-14,686.5900268554690,687.6599731445310,656.6699829101560,656.6699829101560,36600
1997-01-15,699.760009765625,699.760009765625,686.02001953125,690.1799926757810,42000
1997-01-16,711.8599853515630,711.9600219726560,694.3900146484380,701.6400146484380,47300
1997-01-17,701.1799926757810,720.4099731445310,695.77001953125,713.0700073242190,48200
1997-01-20,718.4600219726560,720.6900024414060,697.5599975585940,697.5599975585940,43000
1997-01-21,690.5399780273440,721.7899780273440,690.5399780273440,721.0399780273440,44300
